filename,entropy,is_poisoned
base_gauss4x_uniform_L80.png,0.001227,tensor(False)
base_shadehigh_perlinS08_L60.png,1.681805,tensor(True)
base_glazehigh_radgrad_L40.png,0.464013,tensor(True)
base_glazehigh_directionS01_L10.png,0.001479,tensor(False)
base_shadehigh_uniform_L60.png,1.692901,tensor(True)
base_shadeglazehigh_uniform_L10.png,0.078833,tensor(True)
base_gauss_radgrad_L10.png,0.001271,tensor(False)
base_gauss4x_perlinS08_L70.png,0.001360,tensor(False)
base_glazehigh_cloud2S01_L60.png,0.842683,tensor(True)
base_glazehigh_uniform_L50.png,0.037626,tensor(False)
base_gauss2x_cloud2S01_L10.png,0.001429,tensor(False)
base_shadehigh_radgrad_L70.png,2.695387,tensor(True)
base_gauss4x_perlinS32_L40.png,0.001291,tensor(False)
base_shadehigh_directionS01_L70.png,1.980759,tensor(True)
base_gauss2x_uniform_L10.png,0.082893,tensor(True)
base_gauss4x_radgrad_L50.png,0.000829,tensor(False)
base_gauss4x_cloud2S01_L60.png,0.001316,tensor(False)
base_gauss_directionS01_L10.png,0.002338,tensor(False)
base_gauss2x_perlinS32_L30.png,0.051098,tensor(False)
base_glazehigh_perlinS32_L40.png,0.009195,tensor(False)
base_gauss4x_uniform_L40.png,0.001283,tensor(False)
base_glazehigh_perlinS08_L70.png,2.465831,tensor(True)
base_gauss_perlinS08_L20.png,0.015821,tensor(False)
base_glazehigh_radgrad_L80.png,2.976885,tensor(True)
base_gauss_perlinS32_L10.png,0.007490,tensor(False)
base_shadeglazehigh_perlinS08_L30.png,1.704975,tensor(True)
base_gauss2x_directionS01_L70.png,0.015255,tensor(False)
base_gauss4x_perlinS32_L80.png,0.001334,tensor(False)
base_shadehigh_cloud2S01_L70.png,2.113274,tensor(True)
base_shadehigh_directionS01_L40.png,0.848715,tensor(True)
base_gauss4x_radgrad_L60.png,0.001052,tensor(False)
base_gauss2x_uniform_L20.png,0.937889,tensor(True)
base_gauss_directionS01_L20.png,0.022916,tensor(False)
base_gauss4x_cloud2S01_L50.png,0.001332,tensor(False)
base_glazehigh_perlinS32_L70.png,2.344696,tensor(True)
base_glazehigh_perlinS08_L40.png,0.015812,tensor(False)
base_gauss2x_radgrad_L30.png,0.048599,tensor(False)
base_gauss2x_perlinS08_L30.png,0.627667,tensor(True)
base_gauss4x_uniform_L70.png,0.001260,tensor(False)
base_gauss_perlinS08_L10.png,0.001590,tensor(False)
base_gauss_perlinS32_L20.png,0.068183,tensor(False)
base_shadeglazehigh_directionS01_L30.png,1.759014,tensor(True)
base_gauss4x_perlinS08_L80.png,0.001300,tensor(False)
base_gauss2x_directionS01_L40.png,0.086890,tensor(True)
base_shadehigh_radgrad_L80.png,2.695387,tensor(True)
base_shadeglazehigh_perlinS32_L30.png,1.805332,tensor(True)
base_shadehigh_cloud2S01_L40.png,0.925028,tensor(True)
base_shadehigh_directionS01_L80.png,2.637674,tensor(True)
base_shadeglazehigh_cloud2S01_L10.png,0.280369,tensor(True)
base_shadehigh_perlinS32_L60.png,1.373616,tensor(True)
base_shadehigh_perlinS08_L50.png,1.281699,tensor(True)
base_glazehigh_perlinS08_L80.png,3.167483,tensor(True)
base_glazehigh_radgrad_L70.png,2.976885,tensor(True)
base_gauss4x_directionS01_L30.png,0.001903,tensor(False)
base_shadehigh_uniform_L50.png,1.372761,tensor(True)
base_glazehigh_directionS01_L20.png,0.004353,tensor(False)
base_shadeglazehigh_radgrad_L30.png,2.023047,tensor(True)
base_gauss_uniform_L30.png,1.279505,tensor(True)
base_gauss2x_directionS01_L80.png,0.006491,tensor(False)
base_shadeglazehigh_uniform_L20.png,1.199863,tensor(True)
base_gauss4x_perlinS08_L40.png,0.001816,tensor(False)
base_gauss_radgrad_L20.png,0.495760,tensor(True)
base_shadehigh_cloud2S01_L80.png,2.661007,tensor(True)
base_glazehigh_uniform_L60.png,0.936517,tensor(True)
base_gauss2x_cloud2S01_L20.png,0.116732,tensor(True)
base_glazehigh_cloud2S01_L50.png,0.091848,tensor(True)
base_gauss4x_perlinS32_L70.png,0.001256,tensor(False)
base_shadehigh_radgrad_L40.png,1.428630,tensor(True)
base_gauss4x_perlinS32_L60.png,0.001183,tensor(False)
base_shadehigh_radgrad_L50.png,2.003986,tensor(True)
base_glazehigh_uniform_L70.png,2.556858,tensor(True)
base_gauss2x_cloud2S01_L30.png,0.470527,tensor(True)
base_glazehigh_cloud2S01_L40.png,0.026830,tensor(False)
base_gauss4x_perlinS08_L50.png,0.001467,tensor(False)
base_gauss_radgrad_L30.png,2.055333,tensor(True)
base_shadeglazehigh_uniform_L30.png,1.781738,tensor(True)
base_gauss_uniform_L20.png,0.001601,tensor(False)
base_shadeglazehigh_radgrad_L20.png,0.640521,tensor(True)
base_shadehigh_uniform_L40.png,1.160778,tensor(True)
base_glazehigh_directionS01_L30.png,0.004153,tensor(False)
base_glazehigh_radgrad_L60.png,2.463001,tensor(True)
base_gauss4x_directionS01_L20.png,0.001560,tensor(False)
base_shadehigh_perlinS08_L40.png,1.088560,tensor(True)
base_gauss4x_cloud2S01_L80.png,0.001360,tensor(False)
base_shadehigh_perlinS32_L70.png,1.984981,tensor(True)
base_gauss_cloud2S01_L10.png,0.001999,tensor(False)
base_shadeglazehigh_perlinS32_L20.png,1.030970,tensor(True)
base_glazehigh_cloud2S01_L80.png,3.154356,tensor(True)
base_shadehigh_cloud2S01_L50.png,1.255817,tensor(True)
base_gauss2x_directionS01_L50.png,0.061149,tensor(False)
base_shadeglazehigh_perlinS08_L10.png,0.235567,tensor(True)
base_gauss_perlinS32_L30.png,0.905990,tensor(True)
base_shadeglazehigh_directionS01_L20.png,1.006667,tensor(True)
base_shadehigh_uniform_L80.png,2.660475,tensor(True)
base_glazehigh_perlinS08_L50.png,0.134390,tensor(True)
base_gauss2x_radgrad_L20.png,0.143301,tensor(True)
base_shadehigh_perlinS08_L80.png,2.709014,tensor(True)
base_gauss2x_perlinS08_L20.png,0.357409,tensor(True)
base_gauss4x_uniform_L60.png,0.001330,tensor(False)
